course_code,units,title,description
AMS 098,1-5 units,Directed Group Study,Directed group study.
AMS 099,1-5 units,Individual Study for Undergraduates,Individual study for undergraduates.
AMS 100,4 units,Methods in American Studies,"Design and implementation of interdisciplinary research, analysis and writing for American Studies and other cultural studies fields. Library and Internet research skills, project/problem definition, methods for study of texts, individuals, communities. Hand-on, skill-building, focused reading, discussion."
AMS 101A,4 units,Special Topics: Popular Culture Studies,"Intensive reading, writing, and special projects. Interdisciplinary group study of special topics in American Culture Studies, designed for non-majors as well as majors."
AMS 101B,4 units,Special Topics: Queer & Trans Studies,"Intensive reading, writing, and special projects in queer and/or transgender studies. Specific topic depends on research interests of the instructor."
AMS 101C,4 units,Special Topics: Material Aspects of American Culture,"Intensive reading, writing, and special projects. Interdisciplinary group study of special topics in American Culture Studies, designed for non-majors as well as majors."
AMS 101E,4 units,Special Topics: American Lives Through Autobiography,"Intensive reading, writing, and special projects. Interdisciplinary group study of special topics in American Culture Studies, designed for non-majors as well as majors."
AMS 101F,4 units,Special Topics: Interrelationship Between Arts & Ideas,"Intensive reading, writing, and special projects. Interdisciplinary group study of special topics in American Culture Studies, designed for non-majors as well as majors."
AMS 101G,4 units,Special Topics: New Directions in American Culture Studies,"Intensive reading, writing, and special projects. Interdisciplinary group study of special topics in American Culture Studies, designed for non-majors as well as majors."
AMS 101H,4 units,Special Topics: Problems in Cross-Cultural American Studies,"Intensive reading, writing, and special projects. Interdisciplinary group study of special topics in American Culture Studies, designed for non-majors as well as majors."
AMS 110,4 units,A Decade in American Civilization,"Close examination of a single decade in American civilization; the connections between the history, literature, arts, customs, and ideas of Americans living in the decade. Issues and representations of race, class, gender, age, and sexuality in the decade."
AMS 125,4 units,Corporate Cultures,"Exploration of the small group cultures of American corporate workplaces, including the role of environment, stories, jokes, rituals, ceremonies, personal style, and play. The effects of cultural diversity upon corporate cultures, both from within and in contact with foreign corporations."
AMS 130,4 units,American Popular Culture,"American popular expression and experience as a cultural system, and the relationship between this system and elite and folk cultures. Exploration of theories and methods for discovering and interpreting patterns of meaning in American popular culture."
AMS 139,4 units,Feminist Cultural Studies,"Histories, theories, and practices of feminist traditions within cultural studies."
AMS 150,4 units,Interdisciplinary Approaches to Environmental Justice/Injustice,"Environmental justice through interdisciplinary lenses. Frameworks that analyze environmental issues through the lens of social justice and human inequality, specifically categories of race, class, gender, nature and nation. Particular focus on California and the Central Valley."
AMS 151,4 units,American Landscapes & Places,"Comparative study of several American cultural populations inhabiting a region, including their relationship to a shared biological, physical, and social environment, their intercultural relations, and their relationships to the dominant American popular and elite culture and folk traditions."
AMS 152,4 units,The Lives of Children in America,Multiple histories and cultural specificity of childhood and adolescence in the United States.
AMS 153,4 units,The Individual & Community in America,"Interdisciplinary examination of past and present tensions between the individual and the community in American experience, as those tensions are expressed in such cultural systems as folklore, public ritual, popular entertainment, literature, fine arts, architecture, and social thought."
AMS 154,4 units,The Lives of Men in America,"Interdisciplinary examination of the lives of boys and men in America, toward understanding cultural definitions of masculinity, the ways individuals have accepted or resisted these definitions, and the broader consequences of the struggle over the social construction of gender."
AMS 155,4 units,Eating in America,"Interdisciplinary examination of the culture of food in America. Exploration of eating as a richly symbolic event integral to how Americans express and negotiate values, politics and identity."
AMS 156,4 units,"Race, Culture & Society in the United States","Interdisciplinary examination of the significance of race in the making of America; how race shapes culture, identities and social processes in the United States; the interweaving of race with gender, class and nationhood in self and community."
AMS 157,4 units,Animals in American Culture,"Animals as symbols in American thought, as found in folklore, popular culture, literature, and art; customs and stories around human-animal interactions, including hunting, religion, foodways, pets, zoos, circuses, rodeos, theme parks, and scientific research on animals."
AMS 158,4 units,Technology & the Modern American Body,History and analysis of relationships between human bodies and technologies in modern society. Dominant and eccentric examples of how human bodies and technologies influence one another and reveal underlying cultural assumptions.
AMS 160,4 units,Undergraduate Seminar in American Studies,"Intensive reading, discussion, research, and writing by small groups in selected topics of American Studies scholarship; emphasis on theory and its application to American material."
AMS 190A,4 units,Senior Thesis Research Seminar,Research and prospectus writing for senior thesis.
AMS 190B,4 units,Senior Thesis,"In consultation with advisor, student writes an extended research paper on a topic proposed inAMS 190A."
AMS 192,1-12 units,Internship in American Studies,"Supervised internship and study in social & community organizations, schools, cultural institutions (e.g., libraries, museums, and archives), or other work sites. Final written report and other assignments as per contract with supervisor."
AMS 197T,1-5 units,Tutoring in American Studies,"Tutoring in lower division American Studies courses, usually in small discussion groups. Periodic meetings with the instructor in charge; reports and readings."
AMS 198,1-5 units,Directed Group Study,Directed group study.
AMS 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
AMS 220,4 units,American Folklore & Folklife,Theory and methods for the study of the folklore and the folk customary behavior of Americans; contributions of folklore studies to scholarship in humanities and social science disciplines.
AMS 250,4 units,Cultural Study of Masculinities,"Interdisciplinary approaches to understanding the social and cultural construction of masculinities; attention to the effects of biology, gender, race, class, sexual and national identities; criticism of oral, printed, visual, and mass mediated texts, and of sicial relations and structure."
AMS 255,4 units,Food in American Culture,"Interdisciplinary theories and methods for the study of food in American culture; food studies in relation to issues of identity (age, gender, ethnicity, religion, region, etc.), social relations, systems of production, and cultures of consumption."
AMS 298,1-5 units,Group Study,Group study.
AMS 299,1-12 units,Individual Study,Individual study.
AMS 396,1-4 units,Teaching Assistant Training Practicum,Teaching assistant training practicum.
APC 092,1-12 units,Internship,"Internship experience off and on campus in all subject areas offered in the Department of Anatomy, Physiology & Cell Biology. Internships are supervised by a member of the faculty."
APC 099,1-5 units,Special Study for Undergraduates,Special study for undergraduates.
APC 100,4 units,Comparative Vertebrate Organology,"Functional anatomy of major organ systems in vertebrates. Each system examined from cellular to gross level in fish, birds, and mammals. Emphasis on how differentiated cell types are integrated into tissues and organs to perform diverse physiological functions."
APC 192,1-15 units,Internship,"Internship experience off and on campus in all subject areas offered in the Department of Anatomy, Physiology & Cell Biology. Internships are supervised by a member of the faculty."
APC 198,1-5 units,Directed Group Study,Directed group study.
APC 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
APC 286,2 units,Basics of Microscopy & Cellular Imaging,"Practical applications of basic microscope techniques used to image cells and tissues with the goal of using these techniques to generate publication quality images. Principles of light, epifluorescent, confocal and electron microscopy, their applications and limitations."
APC 290,1 unit,Seminar,Discussion and critical evaluation of advanced topics and current trends in research.
APC 291,1 unit,Topics in Biology of Respiratory System,"Topics concerning structure and function of respiratory system. Possible topics include: lung growth, pulmonary reaction to toxicants, pulmonary inflammation, lung metabolism, biology of lung cells, tracheobronchial epithelium, nasal cavity structure and function."
APC 298,1-5 units,Group Study,Group study.
APC 299,1-12 units,Research,Research.
ANE 192,1-6 units,Internship in Anesthesiology,Supervised work experience in anesthesia and related fields.
ANE 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
ANE 430,3-6 units,Intro to Anesthesiology & Perioperative Medicine,"Introduction to anesthesiology during the MS3 year, with emphasis on introduction to the field of anesthesiology and the day-to-day practice of an anesthesiologist in the perioperative setting."
ANE 435,3 units,Primary Care Multidisciplinary Pain Management,Rotation will give 3rd year primary-care bound students an overview of the scope of Pain Medicine.
ANE 455,3-6 units,Externship in Anesthesiology,Away clinical rotation in Anesthesiology or Pain Medicine.
ANE 460,3-18 units,Anesthesiology Clinical Clerkship,"In-depth exposure to anesthesia through informal lectures and mentoring by anesthesiologists. Emphasis on understanding and applying anesthetic principles in managing administration of general, regional, and specialized areas."
ANE 461,3-12 units,Perioperative Medicine,Two week rotation provides a broad exposure to various patient care services within the Department of Anesthesiology and Pain Medicine to apply medical knowledge to safely care for patients.
ANE 462,3-6 units,Perioperative Management of the Obstetric Patient,Perioperative Management of Obstetric Patient advanced clinical clerkship will offer the medical student the chance to understand and be able to apply the principles of basic science into major improvements in obstetric anesthesia patient care.
ANE 463,3-6 units,Multidisciplinary Pain Management,"Senior clerkship to expose students to all facets of treating pain in all aspects of clinical care: outpatient and inpatient settings, acute and chronic pain, end of life issues, pediatrics, rehabilitation, etc. Daily clinics, rounds, and lectures."
ANE 464,3-9 units,Multidisciplinary Approach to the Neurosurgical Patient,"Participate in the perioperative care of patients undergoing neurosurgical procedures while under the supervision of anesthesia, neurology and neurosurgical ICU residents and attending physicians."
ANE 465,3-18 units,Away Acting Internship in Anesthesiology,Work at the level of a sub intern in Inpatient and/or Outpatient settings. Expectation is to provide direct patient management.
ANE 480,3 units,Brief Introduction to Clinical Anesthesiology & Chronic Pain Management,"Daily experience in clinical anesthesiology at the preoperative screening unit, operating room, post anesthesia care unit, chronic pain management clinic with daily clinical correlation case discussions, and one-on-one interaction with faculty anesthesiologists."
ANE 490,3 units,A Pain in the Neck: Assessment & Management of Spinal Pain,"Designed to assess and treat spinal pain. Reviews the pathophysiology, clinical assessment, and management of: lumbar spinal pain, cervical spinal pain, differential diagnosis & differentiation between sacroiliac/hip/shoulder joint pain, medication management with risk assessment, and non-pharmacological treatments including interventional pain procedures, acupuncture, and psychological support."
ANE 493A,6 units,Applied Physiology & Pharmacology,"Review and demonstrate the application of basic physiology and pharmacology to patient care. There will be an in-depth analysis of the physiology and pharmacology of the cardiovascular, pulmonary, nervous, renal and endocrine systems."
ANE 493B,6 units,Interdisciplinary Medicine in Pain Care,"Integrate applied and practical neuroanatomy, physiology, pharmacology, psychology/psychiatry and social medicine in the care of patients who are receiving care for pain caused by acute or chronic medical disease or trauma."
ANE 493C,3-6 units,Applied Physiology & Pharmacology,"Review and demonstrate the application of basic physiology and pharmacology to patient care. In-depth analysis of the physiology and pharmacology of the cardiovascular, pulmonary, nervous, renal and endocrine systems."
ANE 498,1-5 units,Individual or Group Study,Directed reading and discussion and/or laboratory investigation on selected topics.
ANE 499,1-18 units,Anesthesiology Research,Problems in clinical and/or laboratory research.
ANB 201,3 units,Scientific Approaches to Animal Behavior Research,"Philosophical issues, goals, strategies and tools in field and laboratory research."
ANB 210,1 unit,History of Animal Behavior,"Classic, seminal papers in animal behavior. Discussion of readings and broader historical context in which papers were written."
ANB 218A,5 units,Fundamentals of Animal Behavior,"Survey of the phenomena and theory of animal behavior from the perspectives of multiple biological disciplines, including evolution, ecology, psychology, genetics, neurobiology, endocrinology, and animal science."
ANB 218B,5 units,Fundamentals of Animal Behavior,"Survey of the phenomena and theory of animal behavior from the perspectives of multiple biological disciplines, including evolution, ecology, psychology, genetics, neurobiology, endocrinology, and animal science."
ANB 221,3 units,"Animal Behavior, Ecology & Evolution","Interface between animal behavior, ecology and evolution. New developments in behavioral ecology development and testing of hypotheses in this discipline."
ANB 230A,3 units,Interdisciplinary Approaches to Animal Behavior,"Analysis of literature in behavior and an allied discipline or disciplines that offer the potential, in combination, to advance the understanding of a topic in animal behavior conceptually and empirically. Topics vary from year to year."
ANB 230B,5 units,Interdisciplinary Approaches to Animal Behavior,Development of an empirical or theoretical interdisciplinary approach to research on a current topic in animal behavior.
ANB 270,1 unit,Research Conference in Behavioral Ecology,Critical presentation and evaluation of current literature and ongoing research in behavioral ecology.
ANB 287,2 units,Advanced Animal Behavior,"Reading, reports and discussion on current topics in animal behavior, with a focus on topics that lie at the interface between animal behavior, ecology and evolution."
ANB 290,1-3 units,Seminar in Animal Behavior,Selected topics in animal behavior.
ANB 294,3 units,Seminar in Behavioral Ecology of Predators & Prey,"Presentation and analysis of research papers on social and foraging behavior of predatory animals, antipredator strategies of prey species, co-evolution of predators and prey, and ecology of predator prey interactions."
ANB 298,1-5 units,Group Study,"Lectures and/or discussion of current issues, problems, or techniques in animal behavior."
ANB 299,1-12 units,Research,Advanced research in one of the specialty areas in animal behavior.
ANB 396,1-4 units,Teaching Assistant Training Practicum,Teaching assistant training practicum.
ABI 050A,2 units,Animal Biology Laboratory,"Scientific methods for answering questions in animal biology by doing exercises to demonstrate hypothesis testing and reporting, short laboratory, population and field experiments. Maintain notebooks, analyze data, interpret results and write reports."
ABI 050B,3 units,Animal Biology,"Basic biological disciplines important to an understanding of practical animal biology issues including the evolution of animal groups, genetic mechanisms, animal physiology as it relates to maintenance and production, and aspects of comparative anatomy, behavior and ecology."
ABI 050C,3 units,Animal Biology,"Animal management and conservation. Societal concerns arising from management and conservation issues, including economics, aesthetics, regulations, safety, public perspectives and advocacy."
ABI 092,1-12 units,Intership in Animal Biology,"Office, laboratory or fieldwork off or on campus in research, governmental regulation, policy making, and private enterprise dealing with animal related issues of production, welfare, pest management, biodiversity and the environment. All requirements of Internship Approval Request form must be met."
ABI 098,1-5 units,Directed Group Study,Directed group study.
ABI 099,1-5 units,Special Study for Undergraduate,Special study for undergraduate.
ABI 102,5 units,Animal Biochemistry & Metabolism,Water and biological buffers; thermodynamics of metabolism; structure and function of biomolecules; enzyme kinetics and function; membrane biology; digestion and absorption; carbohydrate metabolism.
ABI 103,5 units,Animal Biochemistry & Metabolism,Physiological function and metabolism of lipids and amino acids; integrative metabolism; biochemical basis for nutrient requirements; structure and function of vitamins; mineral metabolism and requirements.
ABI 187,2 units,Animal Biology Seminar,Seminar leading to development of the Major Proposal for the Animal Biology major.
ABI 189,2 units,Senior Practicum,"Practicum may be an experimental research project, a library research project or some other creative activity that will serve as a capstone experience for the Animal Biology major."
ABI 189D,1 unit,Senior Practicum Discussion,Helps prevent or solve problems during the students' senior practicum activity.
ABI 192,1-12 units,Internship in Animal Biology,"Office, laboratory or fieldwork off or on campus in research, governmental regulations, policy making, and private enterprise dealing with animal related issues of production, welfare, pest management, biodiversity and the environment. All requirements of Intership Approval Request form must be met."
ABI 198,1-5 units,Directed Group Study,Directed group study.
ABI 199,1-5 units,Special Study for Advanced Undergraduate,Special study for advanced undergraduate.
ABG 200A,3 units,Integrated Animal Biology I,"Natural history, management, historical and current uses, and specialized disciplinary features of model and novel animal systems used in research. Development of conceptual approaches in organismal biology to improve experimental design and interpretation of interdisciplinary research studies."
ABG 200B,3 units,Integrated Animal Biology II,"Natural history, management, historical and current uses, and specialized disciplinary features of model and novel animal systems used in research. Development of conceptual approaches in organismal biology to improve experimental design and interpretation of interdisciplinary research studies."
ABG 202,2 units,Grant Procurement & Administration,"Topics include: structure of grants, attention to specifications, concise persuasive writing, and grant budgeting. Identify grant opportunities, write a persuasive research grant proposal, and administer grants."
ABG 203,3 units,Advanced Animal Welfare,"Advanced animal welfare. Key concepts used when evaluating and understanding the welfare of animals kept by humans. Topics include animal pain, stress, cognition, motivation and emotions. Critical discussion of primary literature."
ABG 205,3 units,Advanced Nutritional Energetics,"History of nutritional energetics. Evaluation of energy transformations associated with food utilization. Energy expenditures at cellular, tissue, and animal levels as affected by diet and physiological state. Current and future feeding systems."
ABG 211,3 units,Advances in Animal Biotechnology & Genetics,"Introduction to advanced techniques used for assisted reproductive technologies in mammals and birds, genetic engineering, gene editing, stem cell biology. Offered in alternate years."
ABG 250,4 units,Mathematical Modeling in Biological Systems,"Model development and evaluation including sensitivity analyses using R. Four principle modeling methodologies included: algebraic functions of biological processes, physiological-based compartmental models, linear programming and meta-analysis. Fundamental background and understanding of mathematical modeling principles in biological systems."
ABG 251,3 units,Gastrointestinal Microbiology of Livestock,Microbiology of the gastrointestinal tract of ruminants and other livestock species; its relation to improving livestock production.
ABG 255,2 units,Physiology of the Stress Response,Definition of Stress; Physiological mechanisms of adaptation to stress; Hormonal control of the systemic stress response; Mechanisms of the cellular stress response; Discussion of current trends in stress physiology and current methods for studying the stress response.
ABG 290,1 unit,Seminar in Animal Biology,Seminar on advanced topics in animal biology. Presentations by members of the Animal Biology Graduate Group and guest speakers.
ABG 290C,1 unit,Research Conference,Student presentations of research in Animal Biology and discussions among participating students and Animal Biology faculty.
ABG 298,1-5 units,Group Study in Animal Biology,Group study in Animal Biology.
ABG 299,1-11 units,Research,Research with a faculty member in Animal Biology Graduate Group.
ABG 300,2 units,Methods in Teaching Animal Biology,"Practical experience in the methods and problems of teaching animal biology. Includes analysis of laboratory exercises, discussion of teaching techniques, grading scientific essays, preparing for and conducting discussion or laboratory sections, formulating quiz and exam questions under instructor supervision."
ABG 396,1-4 units,Teaching Assistant Training Practicum,Teaching assistant training practicum.
ABG 401,2 units,Ethics & Professionalism in Animal Biology,"Case studies and discussion of ethical and professional issues for animal biologists, including the use of animals in research and teaching, patenting and intellectual property, consulting and conflict of interest, scientific integrity, dealing with the media, and mentoring relationships."
ANG 101,3 units,Animal Cytogenetics,"Principles and techniques of cytogenetics applied to animal systems; chromosome harvest techniques, analysis of mitosis and meiosis, karyotyping, chromosome banding, cytogenetic mapping, chromosome structure and function, comparative cytogenetics."
ANG 105,3 units,Horse Genetics,"Coat color, parentage testing, medical genetics, pedigrees, breeds, the gene map and genus Equus. Emphasis on understanding horse genetics based on the unity of mammalian genetics and making breeding decisions based on fundamental genetic concepts."
ANG 107,5 units,Genetics & Animal Breeding,Principles of quantitative genetics applied to improvement of livestock and poultry. Effects of mating systems and selection methods are emphasized with illustration from current breeding practices.
ANG 111,4 units,Molecular Biology Laboratory Techniques,"Introduction to the concepts and techniques used in molecular biology; the role of this technology in both basic and applied animal research, and participation in laboratories using some of the most common techniques in molecular biology."
ANG 185,1 unit,Science of Captive Breeding & Reintroduction,Explore peer-reviewed literature surrounding the latest advances in captive breeding and reintroduction biology.
ANG 198,1-5 units,Directed Group Study,Selected topics relating to animal genetics.
ANG 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.
ANG 204,3 units,Theory of Quantitative Genetics,Theoretical basis of quantitative genetics and the consequences of Mendelian inheritance. Concepts used to estimate quantitative genetic differences and basis for partitioning the phenotypic variance.
ANG 206,3 units,Advanced Domestic Animal Breeding,Procedures for the genetic evaluation of individuals to include selection indices and mixed model evaluation for single and multiple traits. Methods of estimating genetic trends.
ANG 208,3 units,Estimation of Genetic Parameters,"General methods for the estimation of components of variance and covariance and their application to the estimation of heritability, repeatability and genetic correlations are considered. Specific emphasis is given to procedures applicable to livestock populations under selection."
ANG 211,2 units,Genetic Engineering of Animals,Review of techniques for the genetic engineering of animals and their limitations and applications. Student-led discussions of recent papers in the field and possible future applications of genetically engineered animals in basic research and applied agricultural and medical research.
ANG 212,2 units,Sequence Analysis in Molecular Genetics,Use of computer algorithms and on-line databases to analyze nucleic acid and protein sequences in molecular genetics research.
ANG 298,1-5 units,Group Study,Lectures and discussions of advanced topics in animal genetics.
ANG 299,1-12 units,Research in Animal Genetics,Research in Animal Genetics.
ANS 001,4 units,Domestic Animals & People,"Animal domestication and factors affecting their characteristics and distribution. Animal use for food, fiber, work, drugs, research and recreation; present and future roles in society. Laboratory exercises with beef and dairy cattle, poultry, sheep, swine, laboratory animals, fish, horses, meat and dairy products."
ANS 002,4 units,Introductory Animal Science,"Growth, reproduction, lactation, inheritance, nutrition, and disease control in domesticated animals and species used in aquaculture; the application of sciences to animal production."
ANS 010,3 units,Animals & Human Society,"The confluence of animals and humans, and how animals affect human society. Animals as companions, as entertainment, in research, and as food. Scholarship, commentary, and controversies in contemporary animal science, including sustainability, ethics, and environmental change."
ANS 012,3 units,Animal Science: Basic Principles & Application,"Overview of domestic and global animal industries. Exploration of production systems, animal biology, genetics, anatomy, physiology, reproduction, health, behavior, research, biotechnology and welfare."
ANS 015,3 units,Introductory Horse Husbandry,"Introduction to care and use of light horses emphasizing the basic principles for selection of horses, responsibilities of ownership, recreational use and raising of foals."
ANS 017,3 units,Canine Behavior: Learning & Cognition,Domestic dog behavior from basic principles of learning to complex cognitive behaviors; interaction between learning and cognition including how these processes contribute to interactions with humans; basic genetic correlates of learning and cognition.
ANS 018,4 units,Introductory Aquaculture,Historical and contemporary aquacultural practices. Interaction between the aqueous culture environment and the biology of aquatic animals. Impact of economics and governmental policies on the development of aquaculture. Interaction of aquacultural practices with larger societal goals.
ANS 021,2 units,Livestock & Dairy Cattle Judging,"Evaluation of type as presently applied to light horses, meat animals and dairy cattle. Relationship between form and function, form and carcass quality, and form and milk production."
ANS 022A,2 units,Animal Evaluation,"Attendance at 3 one-day weekend field trips required. Domestic livestock species with emphasis on visual appraisal, carcass evaluation, and application of performance information. Emphasis on accurate written and oral descriptions of evaluations. Prerequisite to intercollegiate judging competition."
ANS 022B,2 units,Animal Evaluation,"Attendance at three one-day weekend field trips required. Continuation ofANS 022Awith emphasis on specific species: swine, beef cattle and sheep. Application of animal science principles to selection and management problem-solving scenarios. Prerequisite to intercollegiate judging competition."
ANS 041,2 units,Domestic Animal Production,"Principles of farm animal management, including dairy and beef cattle, sheep, and swine. Industry trends, care and management, nutrition, and reproduction."
ANS 041L,2 units,Domestic Animal Production Laboratory,"Animal production principles and practices, including five field trips to dairy cattle, beef cattle, sheep, and swine operations and campus labs."
ANS 042,4 units,Introductory Companion Animal Biology,"Companion animal domestication. Historical, contemporary perspectives. Legislation concerning companion animals. Selected topics in anatomy, physiology, genetics, nutrition, behavior and management. Scientific methods in studying the human-animal bond. Discussions: application of biological concepts to problems related to companion animals."
ANS 049A,2 units,Animal Management Practices: Aquaculture,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049B,2 units,Animal Management Practices: Beef,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049C,2 units,Animal Management Practices: Dairy,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049D,2 units,Animal Management Practices: Goats,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049E,2 units,Animal Management Practices: Horses,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049F,2 units,Animal Management Practices: Laboratory Animals,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049G,2 units,Animal Management Practices: Meats,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049H,2 units,Animal Management Practices: Poultry,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049I,2 units,Animal Management Practices: Sheep,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049J,2 units,Animal Management Practices: Swine,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 049K,2 units,Animal Management Practices: Captive & Companion Avian,Application of the principles of elementary biology to the management of a specific animal species. Up to four different topics may be taken.
ANS 090C,1 unit,Research Group Conference,"Weekly conference on research problems, progress and techniques in the animal sciences."
ANS 092,1-12 units,Internship in Animal Science,"Internship off and on campus in dairy, livestock, and aquaculture production, research and management; or in a business, industry, or agency associated with these or other animal enterprises. All requirements of Internship Approval form must be met."
ANS 092D,1 unit,Internship in Animal Science Discussion,Provides opportunities to meet and discuss with staff and/or faculty the biological concepts that are the basis for the care and management programs used with animals during their lower division internship.
ANS 098,1-5 units,Directed Group Study,Directed group study.
ANS 099,1-5 units,Special Study for Undergraduates,Special study for undergraduates.
ANS 100,5 units,Animal Physiology,"Basic principles of animal physiology in domesticated and captive animals with a comparative approach. Molecular, biochemical, chemical and physical aspects and their influences on function of physiological systems in animals."
ANS 103,4 units,Animal Welfare,"Application of principles of animal behavior and physiology to assessment and improvement of the welfare of wild, captive, and domestic animals. Topics include animal pain, stress, cognition, motivation, emotions, and preferences, as well as environmental enrichment methods."
ANS 104,4 units,Principles & Applications of Domestic Animal Behavior,Basic principles of animal behavior as applied to domesticated species. Emphasis placed on application of the principles of animal behavior.
ANS 106,3 units,Domestic Animal Behavior Laboratory,"Research experience with the behavior of large domestic animals. Experimental design, methods of data collection & analysis, and reporting of experimental results."
ANS 107,3 units,Zoo Biology & Research,"Introduction to the modern zoo, including history, staffing structure, aspects of animal care such as housing, social management, and enrichment, research in genetics, health, nutrition, behavior, cognition, and guest perceptions. Requires a visit to the Sacramento Zoo and development of a project research proposal based on a specific exhibit at the zoo."
ANS 108,3 units,Equine Behavior & Welfare,"Improve the understanding and application of good welfare practices when managing, training, transporting, treating, or breeding equine. Recognize changes in behavior or causes related to comprised health or welfare."
ANS 112,3 units,Sustainable Animal Agriculture,"Current applications of sustainable animal agriculture including the challenges of animal production, animal needs, animal well-being, and protection of the environment and resources for future food supply systems. Various scenarios for meeting sustainability objectives are evaluated using computing modeling."
ANS 113,2 units,Meat Safety & Hazard Analysis & Critical Control Points,"Fundamentals of meat safety and Hazard Analysis Critical Control Points (HACCP). Principles, development, implementation of HACCP. Control of physical, chemical, biological hazards assuring meat/food safety via programs (Good Manufacturing Practices, Sanitation Standard Operating Procedures), hazard analysis critical control points. Regulations, focusing on HACCP implementation in meat & seafood products. Value, shortcomings of sampling, and microbial testing in meat safety assurance programs."
ANS 115,4 units,Advanced Horse Production,"Feeding, breeding, and management of horses; application of the basic principles of animal science to problems of production of all types of horses. Designed for students who wish to become professionally involved in the horse industry."
ANS 118,4 units,Fish Production,"Current practices in fish production; relationship between the biological aspects of a species and the production systems, husbandry, management, and marketing practices utilized. Emphasis on species currently reared in California."
ANS 119,4 units,Invertebrate Aquaculture,"Management, breeding and feeding of aquatic invertebrates; application of basic principles of physiology, reproduction, and nutrition to production of mollusks and crustaceans for human food; emphasis on interaction of species biology and managerial techniques on production efficiencies."
ANS 120,3 units,Principles of Meat Science,"Anatomical, physiological, developmental, and biochemical aspects of muscle underlying the conversion of muscle to meat. Includes meat processing, preservation, microbiology, and public health issues associated with meat products."
ANS 120L,2 units,Meat Science Laboratory,"Laboratory exercises and student participation in transformation of live animal to carcass and meat, structural and biochemical changes related to meat quality, chemical and sensory evaluation of meat, and field trips to packing plant and processing plant."
ANS 123,4 units,Animal Growth & Development,"Growth and development of animals from conception to maturity, viewed from practical and biological perspectives; includes genetic, metabolic, nutritional control of cell and organism function."
ANS 124,4 units,Lactation,"Biochemical, genetic, physiological, nutritional, and structural factors relating to mammary gland development, the initiation of lactation, the composition of milk and lactational performance."
ANS 125,3 units,Equine Exercise Physiology,"Basic and applied physiology of the exercising horse. Includes physiological systems, gait analysis, lameness, pharmacology, sports medicine; sport horse performance evaluation and conditioning."
ANS 126,3 units,Equine Nutrition,"Equine digestion, digestive physiology, diet development and evaluation, and the relationship of the topics to recommended feeding practices and nutritional portfolios."
ANS 127,3 units,Advanced Equine Reproduction,"Reproductive physiology, anatomy and endocrinology of the mare and stallion. Emphasis on structure/function relationships as they are applied to improving equine reproductive management and efficiency."
ANS 128,4 units,Agricultural Applications of Linear Programming,"Applications of linear programming in agriculture, emphasizing resource allocation problems and decision making. Problems include crop production, ration formulation, and farm management. Hands-on experience in developing linear programs and interpreting the results."
ANS 129,3 units,Environmental Stewardship in Animal Production Systems,"Management principles of environmental stewardship for grazing lands, animal feeding, operations and aquaculture operations; existing regulations, sample analyses, interpretation and utilization of data, evaluation of alternative practices, and policy development."
ANS 130,3 units,Endocrinology Laboratory,"Experimental approaches used in animal endocrinology research. Introductions to a variety of topics to help assimilate many ideas from physiology courses, experimental approaches, and skills reading and interpreting scientific papers."
ANS 131,4 units,Reproduction & Early Development in Aquatic Animals,"Physiological and developmental functions related to reproduction, breeding efficiency and fertility of animals commonly used in aquaculture."
ANS 132,3 units,Microbiology of Animal Systems Laboratory,Basic microbiology techniques and the ability to produce recombinant proteins from genomic information. Importance of carbohydrate degrading enzymes in animal systems. Animal systems of interest range from the digestive tract of animals (e.g. rumen) to animal waste (e.g. manure).
ANS 133,4 units,Animal Cell Culture Laboratory,"Design, conduct, analyze, and present a research project involving cell culture."
ANS 134,3 units,Animal Nutrition Laboratory,"Animal nutrition research experience for senior-level students. Forming a valid hypothesis, designing treatments, preparing for experiments, recording measurements in the field, summarizing results. Emphasis on developing essential research skills & proper techniques for collecting, summarizing, and presenting data."
ANS 135,3 units,Production Animal Laboratory,"Biochemical methods for developing and conducting research with production animals, and interpreting and presenting data. Laboratory focus course which uses sheep as model. There may be one or two mandatory all day Saturday field trips."
